step,node,flow_in_veh_s,halting_sum,vehCount_sum
95,B2,1000.000000,0,7
95,C0,0.000000,0,2
95,C1,0.000000,0,6
95,C2,0.000000,0,2
96,A1,0.000000,7,18
96,B0,0.000000,4,17
96,A0,1000.000000,0,2
96,A2,1000.000000,0,4
96,B1,2000.000000,6,18
96,B2,1000.000000,0,7
96,C0,0.000000,0,2
96,C1,0.000000,0,5
96,C2,0.000000,0,2
97,A1,1000.000000,6,17
97,B0,1000.000000,5,17
97,A0,1000.000000,0,3
97,A2,0.000000,0,4
97,B1,0.000000,6,18
97,B2,0.000000,0,7
97,C0,0.000000,0,2
97,C1,0.000000,0,5
97,C2,1000.000000,0,3
98,A1,1000.000000,6,18
98,B0,0.000000,4,17
98,A0,0.000000,0,3
98,A2,1000.000000,0,4
98,B1,1000.000000,6,19
98,B2,0.000000,0,7
98,C0,0.000000,0,2
98,C1,0.000000,0,5
98,C2,0.000000,0,2
99,A1,1000.000000,6,18
99,B0,1000.000000,4,18
99,A0,0.000000,0,3
99,A2,0.000000,0,4
99,B1,1000.000000,8,20
99,B2,1000.000000,0,7
99,C0,0.000000,0,2
99,C1,0.000000,0,4
99,C2,0.000000,0,2
100,A1,0.000000,5,18
100,B0,0.000000,5,17
100,A0,0.000000,0,3
100,A2,0.000000,0,4
100,B1,1000.000000,9,21
100,B2,0.000000,0,7
100,C0,0.000000,0,2
100,C1,0.000000,0,4
100,C2,0.000000,0,2
101,A1,0.000000,6,18
101,B0,0.000000,6,17
101,A0,0.000000,0,3
101,A2,1000.000000,0,5
101,B1,1000.000000,10,22
101,B2,0.000000,0,6
101,C0,0.000000,0,1
101,C1,0.000000,0,3
101,C2,1000.000000,0,3
102,A1,0.000000,6,17
102,B0,1000.000000,6,17
102,A0,0.000000,0,3
102,A2,0.000000,0,4
102,B1,2000.000000,11,24
102,B2,1000.000000,0,6
102,C0,0.000000,0,1
102,C1,0.000000,0,3
102,C2,0.000000,0,3
103,A1,1000.000000,7,18
103,B0,0.000000,7,17
103,A0,1000.000000,0,4
103,A2,2000.000000,0,6
103,B1,0.000000,14,24
103,B2,0.000000,1,6
103,C0,0.000000,0,1
103,C1,0.000000,0,3
103,C2,0.000000,0,3
104,A1,0.000000,8,18
104,B0,0.000000,8,17
104,A0,0.000000,0,4
104,A2,1000.000000,0,7
104,B1,2000.000000,14,26
104,B2,0.000000,1,6
104,C0,0.000000,0,1
104,C1,0.000000,0,2
104,C2,0.000000,0,3
105,A1,0.000000,8,18
105,B0,0.000000,8,16
105,A0,0.000000,0,4
105,A2,0.000000,0,7
105,B1,0.000000,14,26
105,B2,0.000000,1,6
105,C0,0.000000,0,0
105,C1,1000.000000,0,3
105,C2,1000.000000,0,3
106,A1,1000.000000,10,18
106,B0,0.000000,10,16
106,A0,0.000000,0,3
106,A2,0.000000,0,6
106,B1,0.000000,14,26
106,B2,0.000000,2,6
106,C0,0.000000,0,0
106,C1,0.000000,1,3
106,C2,0.000000,0,3
107,A1,0.000000,10,18
107,B0,0.000000,11,16
107,A0,1000.000000,0,4
107,A2,1000.000000,0,7
107,B1,0.000000,15,26
107,B2,1000.000000,2,7
107,C0,0.000000,0,0
107,C1,0.000000,1,2
107,C2,0.000000,0,3
108,A1,0.000000,12,18
108,B0,1000.000000,11,16
108,A0,0.000000,0,4
108,A2,0.000000,0,7
108,B1,1000.000000,17,27
